北海道選挙管理委員会事務局

開票速報

衆議院比例代表選挙

【令和08年02月08日】

衆議院議員総選挙　比例代表　名簿届出政党等別得票数

全道計	確定
区分	確定	1	2	3	4	
日本共産党	国民民主党	中道改革連合	日本維新の会



確定
清水町	*	204	95	55	
確定
芽室町	*	454	188	166	
確定
中札内村	*	114	41	21	
確定
更別村	*	82	27	30	
確定
大樹町	*	110	49	41	
確定
広尾町	*	94	40	32	
確定
幕別町	*	488	256	179	
確定
池田町	*	119	81	50	
確定
豊頃町	*	41	25	21	
確定
本別町	*	113	63	44	
確定
足寄町	*	124	44	44	
確定
陸別町	*	51	26	9	
確定
浦幌町	*	81	38	32	
確定
十勝総合振興局 計	*	3,504	1,638	1,160	
確定







釧路町	*	349	209	125	
確定
厚岸町	*	138	79	51	
確定
浜中町	*	119	58	27	
確定
標茶町	*	129	67	43	
確定
弟子屈町	*	127	85	56	
確定
鶴居村	*	73	31	14	
確定
白糠町	*	124	66	48	
確定
釧路総合振興局 計	*	1,059	595	364	
確定







別海町	*	290	165	84	
確定
中標津町	*	538	271	146	
確定
標津町	*	110	67	36	
確定
羅臼町	*	59	31	32	
確定
根室振興局 計	*	997	534	298	
確定







町 村 計	*	17,963	8,680	5,665	
確定







合 計	*	134,613	60,119	32,878	
確定
